Month,Department,Budgeted Amount,Actual Spending,Variance
Feb,Finance,11407,9426,-1981
Dec,Sales,6601,5377,-1224
Aug,Operations,16703,15538,-1165
Mar,Operations,12843,14787,1944
Aug,IT,19399,21713,2314
Dec,IT,19699,22233,2534
Jan,Sales,13237,10907,-2330
Jan,Finance,17697,18910,1213
May,Marketing,17589,18406,817
Jan,HR,15526,13281,-2245
Sep,HR,8934,7297,-1637
Nov,HR,5768,7874,2106
Nov,Finance,13919,13795,-124
Aug,Sales,5374,5224,-150
Feb,IT,8337,9610,1273
Aug,HR,8120,5978,-2142
Jul,Sales,16564,18477,1913
May,IT,8988,11788,2800
Dec,HR,11899,12795,896
Mar,Sales,8078,9478,1400
Apr,Operations,18357,17130,-1227
Oct,Sales,10169,9540,-629
Mar,Operations,5360,6576,1216
Sep,Sales,14111,14227,116
May,Operations,11032,9541,-1491
Feb,HR,8153,10020,1867
Nov,IT,13747,16180,2433
Dec,Sales,9684,7530,-2154
Jan,IT,15675,13921,-1754
Oct,IT,17221,16010,-1211
Jan,Finance,19798,19900,102
Aug,Marketing,18357,16554,-1803
May,Sales,10832,12582,1750
Dec,Operations,9441,9269,-172
May,Operations,6316,7458,1142
Jan,Marketing,10222,7295,-2927
May,Marketing,8166,10344,2178
Jun,HR,7468,9133,1665
Jun,Marketing,9033,7423,-1610
Apr,Sales,15069,15871,802
Jul,Marketing,19396,19729,333
Aug,Sales,12767,15144,2377
Jun,Operations,16106,16518,412
Apr,Sales,7678,8579,901
Dec,Sales,17893,17216,-677
Apr,IT,11805,12360,555
Aug,IT,18305,20017,1712
Jul,IT,9329,7516,-1813
Feb,Marketing,7968,10048,2080
Aug,Marketing,13930,14120,190
Nov,Finance,12933,12606,-327
Sep,HR,19940,17307,-2633
Oct,Finance,12946,13029,83
May,IT,6183,4074,-2109
Nov,HR,19874,18917,-957
Apr,Finance,19948,18244,-1704
Jul,Sales,11560,13129,1569
Dec,IT,11567,9098,-2469
Mar,Finance,12450,10691,-1759
Dec,Operations,16190,18135,1945
Apr,Sales,15656,15234,-422
Jul,Operations,11980,9917,-2063
Jun,HR,8646,10506,1860
Jul,Sales,17497,15282,-2215
Nov,Operations,15552,12822,-2730
Jul,HR,6875,5501,-1374
Jun,Operations,17265,14818,-2447
May,Sales,16996,19708,2712
Mar,Marketing,11453,13657,2204
Oct,IT,9448,11495,2047
Aug,IT,5868,8605,2737
Jul,Operations,13861,15304,1443
Sep,Sales,13504,11014,-2490
Sep,Operations,11376,12664,1288
Jul,Marketing,19966,17147,-2819
Apr,Marketing,10237,9936,-301
Nov,HR,16378,14943,-1435
Sep,Sales,5649,8435,2786
Feb,Sales,8607,8907,300
Apr,Operations,15288,14203,-1085
Jun,HR,9915,10991,1076
Dec,IT,8606,8709,103
Oct,Marketing,7486,10168,2682
Oct,Sales,12519,12632,113
Apr,Marketing,9633,11624,1991
Feb,Sales,16367,17164,797
Aug,Operations,16983,15927,-1056
Oct,Sales,13456,14602,1146
Mar,HR,10877,11217,340
Apr,IT,7148,4804,-2344
Oct,Sales,5748,3950,-1798
Jun,Marketing,7569,4877,-2692
Jun,Marketing,13301,11814,-1487
Dec,Operations,11888,11693,-195
Feb,Finance,8714,7896,-818
Mar,Finance,7598,10065,2467
Mar,Marketing,6156,7654,1498
Jul,Marketing,17282,15038,-2244
Jun,Marketing,8114,8983,869
Sep,Sales,15085,14069,-1016
Jan,IT,19279,20050,771
Apr,Sales,19284,18542,-742
Feb,Sales,6382,7332,950
Mar,Finance,6348,3771,-2577
Nov,HR,12886,13165,279
Nov,Operations,14358,16387,2029
Sep,Sales,11209,13134,1925
Aug,Finance,5844,3596,-2248
Sep,Marketing,19787,18619,-1168
May,HR,8300,7819,-481
Apr,Operations,11366,14298,2932
Feb,Finance,19745,19822,77
Feb,IT,13050,13070,20
Aug,HR,7888,8562,674
Oct,Finance,13038,15935,2897
Apr,Operations,9338,11761,2423
Aug,Finance,14607,14216,-391
Aug,Finance,18977,18613,-364
Apr,Marketing,11265,13720,2455
Mar,Finance,19146,19050,-96
Aug,IT,14819,14933,114
Jan,Marketing,13546,15305,1759
May,IT,13375,14414,1039
Mar,HR,11874,11950,76
Jun,Marketing,13896,15094,1198
Apr,IT,17877,19774,1897
Jan,HR,13033,12228,-805
May,Sales,9562,12531,2969
Aug,Sales,6176,6249,73
Feb,Operations,9015,11269,2254
Feb,IT,7811,9858,2047
Jun,Operations,16651,16736,85
Oct,HR,16836,15768,-1068
Sep,Sales,19423,17700,-1723
Oct,Marketing,14089,16828,2739
Oct,HR,14560,13361,-1199
Mar,Operations,11318,13412,2094
Sep,Sales,18654,17082,-1572
Sep,Finance,18497,18800,303
Jul,Marketing,7363,9671,2308
Jan,IT,14121,12352,-1769
Sep,Marketing,14985,12487,-2498
Sep,Marketing,17121,18740,1619
May,Sales,19959,18855,-1104
Apr,Operations,18889,18923,34
Nov,HR,5015,7225,2210
Feb,Sales,15453,14961,-492
Sep,Marketing,7107,4138,-2969
Dec,HR,6264,3521,-2743
Feb,HR,8963,9948,985
Oct,Marketing,15404,16315,911
May,Finance,15208,13128,-2080
Mar,Operations,19929,21519,1590
Aug,IT,18877,17898,-979
May,Finance,5412,5424,12
May,Finance,18134,18388,254
Sep,Operations,13288,12880,-408
Apr,Marketing,13701,16169,2468
Sep,IT,6735,6621,-114
Oct,Operations,18632,15816,-2816
Oct,Sales,6283,3567,-2716
Dec,Marketing,19387,18401,-986
Sep,IT,18347,18938,591
Jul,Sales,6037,5157,-880
May,Finance,7063,10059,2996
Nov,Marketing,16081,16475,394
Sep,Marketing,16956,15174,-1782
Jan,HR,19872,19138,-734
Oct,Marketing,7375,4767,-2608
Feb,IT,11037,11818,781
Feb,Operations,15454,12486,-2968
Nov,Sales,13049,15737,2688
Oct,Marketing,11913,9567,-2346
Dec,Marketing,9070,9507,437
May,HR,16969,18094,1125
Jul,Sales,14921,15273,352
May,Finance,5879,8704,2825
Dec,Operations,18470,17713,-757
Apr,Marketing,10428,13097,2669
Sep,Marketing,8207,7654,-553
Jun,HR,13732,12636,-1096
Sep,HR,19161,21643,2482
Oct,Marketing,10341,13078,2737
Jan,Sales,11991,14017,2026
Jul,Operations,17583,19725,2142
May,IT,17365,16968,-397
Dec,HR,10450,12458,2008
Mar,Sales,15861,17888,2027
Jan,Marketing,10745,10075,-670
Jul,Marketing,6276,5796,-480
Apr,Operations,15830,14701,-1129
May,Finance,16547,14377,-2170
Dec,Marketing,5917,6794,877
Oct,Operations,9509,10147,638
Nov,IT,6724,6466,-258
Sep,IT,19068,19948,880
Dec,Operations,7972,6845,-1127
Mar,HR,7089,5567,-1522
Aug,IT,5509,5612,103
Aug,HR,10694,9461,-1233
Sep,IT,17317,17672,355
May,Finance,18565,15586,-2979
Aug,Operations,12369,10615,-1754
Apr,IT,15387,14952,-435
Feb,Marketing,8245,9505,1260
May,HR,5623,8115,2492
Mar,Sales,13841,16765,2924
Apr,IT,12603,12166,-437
Dec,HR,6117,4163,-1954
Aug,Sales,13858,13775,-83
Nov,IT,12455,13096,641
Jan,HR,9940,7619,-2321
Nov,HR,6227,4436,-1791
Jul,Sales,16953,14043,-2910
Mar,Operations,8958,6139,-2819
Nov,Finance,9387,7664,-1723
Oct,Finance,8942,7882,-1060
Nov,IT,14789,13481,-1308
Sep,Finance,5923,5044,-879
Jun,Marketing,14712,16659,1947
Jul,Sales,6617,9194,2577
Sep,Sales,18228,17524,-704
Oct,Finance,13005,13603,598
Jun,Marketing,15069,12279,-2790
Apr,IT,11806,9621,-2185
Oct,Operations,8017,10976,2959
Dec,Finance,8335,10911,2576
May,Sales,11172,9500,-1672
Sep,Operations,18040,19838,1798
Jul,Operations,11917,13115,1198
Sep,Operations,6037,3225,-2812
Jun,IT,16147,13968,-2179
Mar,Finance,7623,6773,-850
Oct,HR,7252,6550,-702
Jan,IT,15878,15697,-181
Nov,HR,9990,9144,-846
Sep,Marketing,12915,11638,-1277
Mar,HR,17133,17321,188
Mar,Operations,13376,16165,2789
Aug,Finance,6691,9312,2621
Sep,Operations,12198,14190,1992
Dec,HR,6110,6554,444
Nov,Finance,8169,5172,-2997
Jun,Sales,19151,18755,-396
Apr,HR,15932,13662,-2270
Nov,Sales,15432,17868,2436
Feb,Operations,9576,12153,2577
Dec,Sales,12413,12714,301
Jan,Sales,9987,9244,-743
Oct,HR,13477,15476,1999
Jan,HR,19638,21344,1706
Dec,IT,8623,5994,-2629
Mar,Finance,17158,14814,-2344
Apr,Sales,5304,6708,1404
Mar,Operations,12061,11364,-697
Feb,Operations,16497,16385,-112
May,Sales,11772,9393,-2379
May,Operations,14044,13850,-194
Apr,Operations,19896,17591,-2305
May,IT,12771,11163,-1608
Feb,Operations,11162,13521,2359
Feb,HR,10189,8823,-1366
Aug,HR,19450,18386,-1064
May,IT,16823,16754,-69
Dec,Marketing,17317,15774,-1543
Apr,Finance,11503,9487,-2016
Nov,Marketing,17218,17465,247
Nov,Operations,6771,9626,2855
Nov,IT,7319,9528,2209
Feb,Sales,10283,12090,1807
Feb,Sales,18507,20360,1853
Mar,Sales,11655,11664,9
Oct,Sales,6519,7285,766
Mar,Marketing,17268,19472,2204
May,HR,15338,16194,856
Mar,IT,19861,17315,-2546
May,Sales,15849,18463,2614
Jun,Sales,8519,11327,2808
Sep,Marketing,16213,17030,817
Jul,Marketing,12449,12336,-113
Jan,Operations,5711,2906,-2805
Jan,Operations,18699,21161,2462
Apr,IT,14340,15332,992
Apr,IT,19830,17018,-2812
Jun,Sales,18653,20733,2080
Jan,Sales,17716,16357,-1359
Sep,Sales,6016,5626,-390
May,Finance,6913,6680,-233
May,Marketing,6896,5735,-1161
Dec,Finance,11962,14354,2392
May,HR,19764,21157,1393
Jun,HR,11418,11650,232
Jun,Operations,18772,19785,1013
Apr,HR,16119,14243,-1876
Nov,HR,8061,5868,-2193
Sep,Marketing,11791,13853,2062
Apr,Marketing,9572,9479,-93
Jan,IT,13771,16681,2910
Jun,Marketing,16302,14810,-1492
Jun,Finance,5830,3331,-2499
Jul,Sales,14019,11096,-2923
May,HR,18598,21043,2445
Aug,Operations,17941,18869,928
Sep,IT,10840,11479,639
Apr,Sales,14691,16027,1336
Dec,IT,16553,14320,-2233
Sep,Marketing,9512,11077,1565
May,Marketing,18548,20903,2355
Sep,Finance,7373,9461,2088
Jul,Sales,16468,15353,-1115
Dec,IT,6138,6651,513
Sep,Finance,16109,17621,1512
May,Sales,7080,6716,-364
Oct,Sales,18396,20630,2234
Oct,Operations,15054,13822,-1232
Dec,Finance,8164,10593,2429
Feb,IT,6562,3835,-2727
Jun,Sales,7144,6832,-312
Feb,Finance,19914,22854,2940
Nov,Finance,10132,11887,1755
Nov,Operations,15914,17747,1833
Jun,Sales,9255,11230,1975
Jul,Marketing,14415,16802,2387
Jan,IT,12930,13060,130
May,Operations,17298,16080,-1218
Jan,Finance,13847,15634,1787
Mar,Marketing,16712,14590,-2122
Sep,HR,18710,17855,-855
Apr,Marketing,5050,4866,-184
Apr,HR,14556,15819,1263
Nov,Sales,11772,12476,704
Mar,HR,18536,17062,-1474
Apr,Finance,19390,18653,-737
Jul,IT,13594,14443,849
Oct,IT,15265,13810,-1455
May,Marketing,7298,8798,1500
Jun,Sales,19309,17335,-1974
Apr,Finance,14931,17433,2502
Nov,IT,6780,8917,2137
Dec,IT,5792,8341,2549
Aug,Finance,10922,13030,2108
May,Marketing,18818,18746,-72
May,Sales,7731,5205,-2526
Mar,IT,15389,18125,2736
Jul,Marketing,16005,13628,-2377
Oct,IT,14223,12275,-1948
Mar,IT,8163,8050,-113
Apr,Sales,17316,16531,-785
Feb,Operations,7617,9160,1543
Sep,Sales,17357,16803,-554
Mar,HR,5581,8381,2800
Mar,Sales,17647,17031,-616
Mar,HR,18688,15819,-2869
Jun,HR,7487,6133,-1354
Oct,IT,6466,6805,339
Dec,HR,10404,11233,829
Oct,Marketing,16350,17631,1281
Sep,Marketing,17002,14091,-2911
Jun,HR,9152,7941,-1211
Jan,Marketing,18836,16174,-2662
Jul,Operations,15207,13044,-2163
Jul,Marketing,13608,16410,2802
Nov,Finance,8375,9657,1282
Nov,Marketing,11616,13028,1412
Jan,HR,12131,12405,274
Apr,IT,5399,7503,2104
Aug,Marketing,14415,15458,1043
Oct,Finance,13521,14197,676
Dec,Operations,9182,8131,-1051
Feb,Sales,14352,16860,2508
Sep,Finance,15967,16210,243
Jan,IT,12659,9761,-2898
Jul,Marketing,14103,13118,-985
Jan,Sales,13456,11256,-2200
Aug,Sales,17947,17931,-16
Oct,Operations,17429,16791,-638
Jun,Operations,7626,4999,-2627
Jun,IT,11491,14229,2738
Aug,HR,8197,10777,2580
Jan,Marketing,17133,15869,-1264
Jan,IT,19805,16821,-2984
Feb,Sales,9597,7877,-1720
Oct,IT,12965,14021,1056
Apr,IT,19150,16500,-2650
Apr,HR,19737,19881,144
Jan,HR,10087,8247,-1840
May,Sales,5980,8901,2921
Feb,IT,8316,9160,844
Sep,Sales,9289,12207,2918
Jun,Finance,11673,8969,-2704
May,HR,10887,11557,670
Apr,IT,15807,15345,-462
Apr,Marketing,14313,16919,2606
Oct,IT,11381,8894,-2487
Jun,Marketing,8298,9143,845
Jul,HR,19003,17826,-1177
Jan,IT,10836,9030,-1806
Aug,Operations,10341,12689,2348
Oct,IT,10412,9002,-1410
Sep,Operations,5190,5556,366
Jul,IT,13186,14811,1625
May,IT,18454,18379,-75
Mar,IT,7807,8179,372
Jan,Marketing,17758,17467,-291
Sep,IT,13554,14723,1169
Jan,Marketing,16304,16353,49
Apr,HR,5840,6346,506
Sep,Marketing,17412,15734,-1678
Mar,Finance,16399,16955,556
Aug,Finance,7014,8781,1767
Jan,IT,6266,5430,-836
May,Operations,17042,15898,-1144
Dec,Operations,18070,16990,-1080
Apr,IT,15114,13367,-1747
Apr,HR,12737,13074,337
Sep,Marketing,19981,19524,-457
Jul,Marketing,5906,3789,-2117
Mar,Sales,19487,19606,119
Jul,IT,6544,9207,2663
Dec,Marketing,12583,11705,-878
Dec,IT,9909,12851,2942
Sep,Sales,5715,3713,-2002
Oct,Finance,12604,9686,-2918
May,HR,19520,18859,-661
Jul,IT,5411,4141,-1270
Dec,HR,5120,6453,1333
Feb,Sales,9061,11529,2468
Mar,Marketing,19291,16780,-2511
Mar,HR,11160,12689,1529
Sep,IT,17082,18727,1645
Dec,Operations,13453,11456,-1997
Aug,Sales,8045,10062,2017
Jan,Marketing,15491,15481,-10
Aug,Sales,12056,13059,1003
Jan,Operations,13348,12752,-596
May,Operations,15726,15547,-179
Nov,Marketing,8895,9991,1096
Apr,Sales,14782,14616,-166
Dec,Sales,13474,13933,459
Oct,IT,18702,17582,-1120
Jun,Operations,18487,20130,1643
Mar,IT,19476,21682,2206
Sep,IT,16413,19096,2683
Feb,Finance,11270,12035,765
Aug,Sales,14041,15394,1353
Jul,Sales,5394,5806,412
Feb,Operations,8049,8572,523
Feb,Operations,9581,9456,-125
Mar,Operations,10683,12078,1395
Mar,IT,9586,11570,1984
Feb,Operations,15422,13378,-2044
Oct,Marketing,18138,17560,-578
Oct,Marketing,18405,17714,-691
Mar,Operations,18596,20929,2333
Jun,Operations,10150,11483,1333
May,Sales,9744,11396,1652
Apr,Operations,12078,11557,-521
Mar,Finance,11521,9131,-2390
Jun,Marketing,19374,19150,-224
May,HR,19699,16982,-2717
Aug,IT,18534,18949,415
Aug,HR,6708,6128,-580
Jun,HR,18508,17809,-699
Aug,Finance,7324,6023,-1301
Nov,Sales,7191,6875,-316
Feb,Sales,5339,5753,414
Nov,IT,12255,10990,-1265
Oct,Operations,13914,16835,2921
Dec,IT,8717,8051,-666
Apr,Marketing,14876,16865,1989
Aug,Marketing,13940,15056,1116
Dec,IT,13780,14083,303
Aug,Operations,19797,20950,1153
Oct,Operations,19843,18890,-953
Jul,HR,13139,13702,563
Mar,IT,9751,11818,2067
Apr,IT,8519,6698,-1821
May,IT,9997,11456,1459
Jun,HR,8619,7769,-850
May,Operations,10625,11755,1130
Jun,Marketing,11956,14329,2373
May,Marketing,17076,17292,216
May,Sales,12291,11379,-912
Mar,HR,18149,17599,-550
Aug,HR,11535,13056,1521
Sep,IT,14703,12265,-2438
Dec,Sales,13354,16239,2885
Dec,Operations,18476,17405,-1071
Nov,HR,13404,13494,90
Oct,HR,13407,13906,499
Aug,Finance,18498,18667,169
Aug,Sales,17424,15141,-2283
Oct,Sales,11776,8974,-2802
Aug,Operations,19088,17678,-1410
Aug,IT,16300,17750,1450
Jun,IT,7199,9644,2445
Aug,Marketing,6258,5603,-655
Nov,IT,6750,5831,-919
Feb,Finance,7779,10497,2718
Mar,Marketing,17599,16375,-1224
Nov,Sales,11074,12413,1339
Sep,HR,19584,20843,1259
Apr,Sales,17142,15901,-1241
May,Sales,16993,14801,-2192
Mar,Marketing,12840,11379,-1461
Mar,HR,5523,4651,-872
Mar,HR,17255,16369,-886
Jul,Sales,8970,10841,1871
Oct,Marketing,10550,8203,-2347
Jan,Marketing,18059,17009,-1050
Sep,IT,12231,13355,1124
May,HR,18106,20296,2190
Sep,Finance,13760,16394,2634
Feb,HR,16519,19032,2513
Apr,HR,9725,7533,-2192
Aug,HR,7688,7939,251
Jan,Finance,18994,17584,-1410
Feb,Marketing,9455,11680,2225
Jan,Finance,17446,17024,-422
Aug,Finance,19466,18251,-1215
Sep,Finance,10646,9525,-1121
Feb,Sales,12916,13939,1023
Sep,IT,5802,8778,2976
Aug,IT,14729,17703,2974
Mar,HR,6275,6048,-227
Apr,HR,14418,11941,-2477
Jun,Operations,17580,17292,-288
Nov,Finance,17554,18370,816
Dec,Sales,13194,11818,-1376
Sep,IT,19490,17970,-1520
Feb,HR,13385,12572,-813
Jun,HR,7511,4936,-2575
Feb,Sales,5873,5849,-24
Oct,Finance,7941,8986,1045
Jun,HR,16479,16914,435
Nov,Operations,11338,14090,2752
Mar,Sales,14483,14195,-288
Oct,HR,9645,8582,-1063
Apr,Operations,5760,6922,1162
May,Marketing,16459,16128,-331
Jul,Operations,14523,16078,1555
Mar,HR,6440,5656,-784
Dec,IT,11944,11161,-783
Apr,Sales,16407,17136,729
Feb,IT,5235,7606,2371
Aug,Marketing,18383,20053,1670
May,Sales,18014,18415,401
Dec,HR,18722,21006,2284
Jan,Marketing,15032,12670,-2362
Jun,Sales,12257,12696,439
Nov,Finance,8709,10935,2226
May,HR,10730,7977,-2753
Jul,HR,16310,15424,-886
Feb,IT,7750,10660,2910
Apr,IT,11646,14106,2460
Oct,IT,16010,16471,461
Jun,Finance,5124,5756,632
Sep,Sales,5012,5221,209
Mar,Marketing,17078,17170,92
Jan,HR,6747,4603,-2144
Mar,HR,12206,9942,-2264
Nov,Marketing,9323,7972,-1351
Aug,Sales,15235,17256,2021
Jun,Sales,13794,14994,1200
Jun,HR,11231,12692,1461
Aug,Sales,17736,16612,-1124
Jun,HR,9058,11782,2724
Jun,IT,12079,13180,1101
Jul,Operations,17368,19354,1986
Feb,Sales,9234,11228,1994
Apr,Marketing,9898,11079,1181
Dec,Finance,7365,7953,588
Mar,Finance,16971,14965,-2006
Mar,Operations,10866,13502,2636
May,HR,17551,19355,1804
Jul,Finance,9067,11079,2012
May,Operations,5848,4582,-1266
Jul,Operations,15952,18948,2996
Sep,IT,5763,3811,-1952
Apr,IT,8011,5555,-2456
Mar,Operations,6549,3606,-2943
Sep,IT,13547,12329,-1218
Jan,HR,7475,10208,2733
May,Marketing,15511,16640,1129
Nov,Finance,12250,14803,2553
May,Finance,12743,13403,660
Jun,IT,5782,6421,639
May,IT,10205,12178,1973
Jul,Finance,5578,4389,-1189
Nov,Finance,9823,9138,-685
Oct,Marketing,10714,8549,-2165
Jun,HR,11205,11407,202
Aug,Finance,19470,22093,2623
May,Marketing,5753,5988,235
Jul,Operations,11053,12240,1187
Jun,Sales,9710,10070,360
Jan,HR,7121,6870,-251
Jan,Marketing,14475,17395,2920
Aug,Finance,14271,17226,2955
May,IT,13664,10979,-2685
Jul,HR,7051,9666,2615
Jun,Marketing,6217,4783,-1434
Aug,IT,19218,21883,2665
Aug,HR,13655,11522,-2133
Mar,HR,8085,6248,-1837
Feb,Finance,8090,8042,-48
Jan,Sales,15598,18254,2656
Jul,HR,11687,9974,-1713
Dec,Operations,6822,5598,-1224
May,IT,12717,13913,1196
Feb,Marketing,9280,7380,-1900
Jun,Sales,8589,7699,-890
Jan,IT,15706,18145,2439
Apr,Finance,9549,10449,900
Dec,Finance,14295,14311,16
Nov,IT,12731,10040,-2691
Jun,IT,19077,16596,-2481
Oct,Marketing,13684,11544,-2140
Jul,Operations,19495,21602,2107
Nov,HR,17481,16066,-1415
Sep,IT,17917,16724,-1193
Apr,HR,7065,4551,-2514
Jun,Finance,10035,10699,664
Sep,Finance,10850,10921,71
Jan,Operations,14229,14146,-83
Jul,Marketing,5965,6768,803
Sep,Sales,14464,16548,2084
Jan,Sales,5931,8648,2717
Sep,IT,11487,13201,1714
May,Operations,8014,7121,-893
Nov,IT,8789,10854,2065
Apr,Marketing,7795,8310,515
May,Finance,5366,5259,-107
Aug,Marketing,7826,10811,2985
Aug,Sales,10708,11676,968
Oct,HR,6125,7873,1748
Mar,IT,5481,8371,2890
Sep,Operations,18012,18660,648
Jun,IT,7718,6458,-1260
Apr,Sales,9550,9958,408
May,Sales,6927,9331,2404
Oct,HR,6170,5545,-625
Nov,IT,11020,9608,-1412
Aug,Operations,12487,11023,-1464
Jun,Marketing,7806,5946,-1860
Feb,Finance,9858,9339,-519
Oct,Finance,6528,4735,-1793
Aug,HR,6104,3784,-2320
Oct,Operations,12940,15314,2374
Aug,Operations,14825,12467,-2358
Feb,IT,16437,13897,-2540
Jun,HR,8945,10398,1453
Apr,Marketing,19902,21179,1277
Dec,Operations,11005,8469,-2536
Aug,Sales,6416,6349,-67
Apr,HR,18737,17918,-819
Oct,IT,7762,7942,180
Jul,Sales,10210,8329,-1881
Jan,IT,6348,5834,-514
May,Finance,11085,10557,-528
Jan,Finance,8838,10564,1726
Sep,Sales,16947,15820,-1127
Feb,IT,7077,6127,-950
May,Marketing,19803,18522,-1281
Apr,Marketing,14209,17041,2832
May,Marketing,12056,12619,563
Mar,IT,14804,16603,1799
Aug,Marketing,15274,15896,622
Jun,IT,17699,18765,1066
Jun,IT,7210,7177,-33
Dec,Operations,16806,19299,2493
Apr,HR,18647,17513,-1134
Feb,HR,15849,13669,-2180
Sep,Finance,19294,17144,-2150
Jul,Operations,6955,9486,2531
Oct,Finance,14301,14863,562
May,Operations,15891,14128,-1763
Oct,HR,12230,10729,-1501
Aug,Marketing,9900,7853,-2047
Jun,Operations,9625,10103,478
Jul,Finance,17122,16260,-862
Apr,Marketing,11357,12355,998
Nov,Marketing,11757,11160,-597
Nov,Finance,12791,11569,-1222
Mar,Marketing,6291,3408,-2883
Jul,Marketing,17118,17170,52
Feb,Finance,15739,14200,-1539
Aug,Marketing,5224,6307,1083
Jan,IT,13993,11446,-2547
Mar,HR,9999,10590,591
Oct,IT,15617,17064,1447
Feb,Marketing,9152,7049,-2103
Sep,HR,12795,15359,2564
Oct,IT,14183,12927,-1256
Jun,Operations,16162,18993,2831
Sep,HR,11883,9766,-2117
May,Marketing,19395,17111,-2284
Apr,Marketing,6004,5735,-269
Nov,Operations,13962,11357,-2605
Mar,Finance,12280,11822,-458
Jun,Marketing,10172,12684,2512
May,Finance,13501,14040,539
Mar,Operations,13283,14264,981
May,Sales,9041,9066,25
May,Finance,12915,10555,-2360
Nov,IT,6430,5949,-481
Jun,Marketing,14148,15174,1026
Aug,Finance,6601,5342,-1259
Mar,Sales,19811,16964,-2847
Aug,HR,17242,15913,-1329
Jan,Finance,6124,6331,207
Jun,Operations,8881,6142,-2739
Nov,Marketing,17869,17999,130
Oct,HR,7014,9155,2141
Jan,HR,15836,15288,-548
May,HR,5369,5830,461
Jun,HR,10914,10266,-648
Mar,HR,5796,7674,1878
Apr,Finance,8197,8689,492
Oct,Marketing,5689,4476,-1213
Apr,Marketing,10548,11416,868
Apr,Sales,15312,15061,-251
Jul,Finance,13434,14256,822
Jun,Operations,8023,9274,1251
Aug,HR,14971,14566,-405
Jul,Marketing,9964,7462,-2502
Jun,Sales,11835,14469,2634
Dec,Marketing,19985,22564,2579
Jun,Finance,11423,14399,2976
Aug,Finance,16840,14956,-1884
Nov,Marketing,5449,5333,-116
Oct,IT,7404,8532,1128
Aug,HR,11920,13527,1607
Jul,Operations,12358,14586,2228
May,Marketing,10082,10242,160
Jan,HR,14048,16397,2349
Jul,Finance,15955,15656,-299
Aug,Operations,14702,14916,214
Jul,Operations,12306,10687,-1619
Mar,Finance,19119,19364,245
Mar,Operations,9413,8830,-583
Mar,Finance,8320,9983,1663
Jun,Sales,12144,12625,481
Jan,HR,15624,17630,2006
Jan,IT,6114,8524,2410
Nov,Sales,13684,11859,-1825
Jun,Marketing,14582,17455,2873
Apr,HR,14091,15819,1728
Dec,Marketing,13980,15114,1134
Nov,IT,10335,11085,750
Jun,Operations,12754,12659,-95
Jul,HR,16838,15980,-858
Jul,Sales,11701,12898,1197
Feb,HR,6080,6035,-45
Aug,IT,7970,10223,2253
Sep,IT,15553,16587,1034
Oct,HR,7324,6574,-750
Oct,IT,13236,16186,2950
Mar,IT,16792,17985,1193
Apr,Marketing,10032,8349,-1683
Nov,IT,9846,7132,-2714
Jul,Finance,8447,10169,1722
Jan,Finance,11788,12154,366
May,HR,7469,9756,2287
Jun,Marketing,11339,10284,-1055
Oct,Sales,7233,4888,-2345
Mar,Operations,6002,4628,-1374
Jun,Finance,6783,5920,-863
Feb,Sales,19834,17903,-1931
Nov,Finance,12629,14118,1489
Dec,Finance,6997,5009,-1988
Mar,Marketing,9156,8247,-909
Jul,Operations,10427,9264,-1163
Feb,HR,15815,17638,1823
Apr,Sales,19812,19091,-721
May,IT,13150,12340,-810
Feb,IT,8334,10756,2422
Feb,IT,12407,9757,-2650
Jun,Marketing,10916,8292,-2624
Nov,Operations,14331,14762,431
Mar,Sales,19048,22018,2970
Jul,HR,6344,9217,2873
Feb,Marketing,13230,12304,-926
May,Finance,13512,14999,1487
May,Marketing,5105,7975,2870
Sep,IT,8643,10375,1732
Aug,Marketing,9553,6898,-2655
Oct,Marketing,8744,10967,2223
Oct,IT,5833,7967,2134
Jul,Sales,19037,19640,603
Feb,HR,17480,16831,-649
Feb,Finance,17753,19020,1267
Oct,Operations,11917,11134,-783
Jan,Marketing,15026,15430,404
Nov,IT,16634,18668,2034
May,Sales,5221,6362,1141
Mar,Sales,15687,17572,1885
Jul,Operations,19798,19379,-419
Nov,IT,17408,14562,-2846
May,HR,12920,12169,-751
Oct,Operations,12020,14877,2857
Mar,Sales,16295,14785,-1510
Dec,Marketing,18050,16623,-1427
May,Operations,17003,17198,195
Apr,IT,7626,8425,799
Oct,Operations,14217,13036,-1181
Oct,Finance,10474,7572,-2902
Jun,Marketing,9899,9958,59
Mar,HR,19114,17830,-1284
Jan,Marketing,6230,7687,1457
Jan,Sales,18400,20706,2306
Aug,Sales,19138,17229,-1909
Apr,HR,10574,8484,-2090
Mar,Finance,10468,11330,862
Jun,HR,8495,11135,2640
Apr,Sales,16207,14562,-1645
Jun,Sales,7447,8007,560
Jun,HR,16460,14691,-1769
Apr,Finance,5666,8219,2553
Dec,Marketing,17825,15071,-2754
Jan,HR,19911,22400,2489
Aug,HR,6778,8474,1696
Feb,Marketing,16207,18817,2610
Dec,HR,11178,10687,-491
Aug,HR,8961,8321,-640
Jul,HR,5449,5098,-351
Dec,HR,8316,9801,1485
Jan,Operations,10894,10076,-818
Sep,Marketing,5155,2510,-2645
Dec,Finance,10977,9523,-1454
Oct,IT,18585,20502,1917
Nov,Sales,13923,14424,501
Dec,IT,15713,13575,-2138
Jul,Marketing,11732,10733,-999
